"Source","Backup","SHA256","MatchesSource"
"E:\Java\MinecraftMod\RPGProject\TestProject\project.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\project.json","7EAAA6559284AC44A4D21423FA9D817D23F96A02ADD82C2DF3FE2FB9D3F69C68","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\actors\x477265794861745f\x536c696d6573.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\actors\x477265794861745f\x536c696d6573.json","0BFAC1D63C979F483E2B9A41DE64F4A0659D9D6894CE611AF1C9EA5AF183E9C5","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\actors\x477265794861745f\x54617276656e426f7373.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\actors\x477265794861745f\x54617276656e426f7373.json","BC2EFDF632F5729F4ECEC75D2DF4609E38DC7D9ABB59B57E8ADE106B26C77AA5","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\items\x477265794861745f\x436f70706572436f696e.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\items\x477265794861745f\x436f70706572436f696e.json","330202FDDED83A3151B038F20C1252EA3102A709CEC71745DE3D8864404FC253","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\items\x477265794861745f\x54455354.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\items\x477265794861745f\x54455354.json","53FE1AF6CDA89A1FE73F03753DD36DC50BCE5E166032CF0F58E4BD733D731E96","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\item_groups\x477265794861745f\x546573744974656d47726f7570.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\item_groups\x477265794861745f\x546573744974656d47726f7570.json","EB1CC4D85D1B3CCC2CB6741BF07419E684060CDC38859691D2809DAB0DFA7AC3","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\canonical\namespace_policy.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\canonical\namespace_policy.json","79A19BEB51256508DB52723F815D4E7A810FB4C872AB786616658290D6BE4A04","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\canonical\memberships\x477265794861745f\x746573745f73746f7279.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\canonical\memberships\x477265794861745f\x746573745f73746f7279.json","A79F3E1A07D0B840396496125AFE8FC6315A67D72F949DECDC3210D1BA64E328","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\canonical\sessions\x477265794861745f\x466972657374.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\canonical\sessions\x477265794861745f\x466972657374.json","0F01B7665F1E81A7D278BE727461B206CCC2222D79F17A33B42CE2B15D449C09","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\canonical\sessions\x477265794861745f\x5461736b46696e697368.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\canonical\sessions\x477265794861745f\x5461736b46696e697368.json","FBD29063A5DB02C619033C9FE93BD9F83619AD0DE0E5DF7CDB5736AAF3A40617","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\canonical\stories\x477265794861745f\x746573745f73746f7279.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\canonical\stories\x477265794861745f\x746573745f73746f7279.json","D94DDA5BE8B6319620B1266764446F7FB8D3D07B3D8D48EA3F758ECD6658E8F5","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\canonical\tasks\x477265794861745f\x4b696c6c536c696d6573.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\canonical\tasks\x477265794861745f\x4b696c6c536c696d6573.json","AF70955AC53CC2D7D0594A33E6767BC5E08E3879E569011A390EC285CEAF116D","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\editor\story-graph-layout.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\editor\story-graph-layout.json","2BC99692F8DC5FD7C59C4512100DDB77802CA079FEE92122346DEA2EBD1B3414","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\editor\studio_layout.json","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\editor\studio_layout.json","FE80CEC71A804FAD8DA8B77FE82CC0A5AD0E11114F223284C98EC4BF6FA23678","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\media\0429098572aecbbcde2c124c961752e620ea41cffbd3492df01dce17fac50058.png","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\media\0429098572aecbbcde2c124c961752e620ea41cffbd3492df01dce17fac50058.png","0429098572AECBBCDE2C124C961752E620EA41CFFBD3492DF01DCE17FAC50058","True"
"E:\Java\MinecraftMod\RPGProject\TestProject\resources\media\2118e40a9a6e8152816b0e4509494cf80d5d259ad408e6c533657468a9537ef2.png","E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.1\backups\01-TestProject\resources\media\2118e40a9a6e8152816b0e4509494cf80d5d259ad408e6c533657468a9537ef2.png","2118E40A9A6E8152816B0E4509494CF80D5D259AD408E6C533657468A9537EF2","True"
