0 | ControlType.TitleBar | TitleBar | 测试项目 — DarkGrey RPG Studio 0.3.3.1-wpb-preview | 238,53,1445,28 | enabled=True
1 | ControlType.MenuBar | SystemMenuBar | System Menu Bar | 238,53,27,27 | enabled=True
2 | ControlType.MenuItem | Item 1 | System | 238,53,27,27 | enabled=True
3 | ControlType.Button | Minimize | Minimize | 1511,45,58,36 | enabled=True
4 | ControlType.Button | Maximize | Maximize | 1569,45,57,36 | enabled=True
5 | ControlType.Button | Close | Close | 1626,45,58,36 | enabled=True
6 | ControlType.Menu |  |  | 238,81,1445,64 | enabled=True
7 | ControlType.MenuItem |  | 文件(F) | 245,83,93,60 | enabled=True
8 | ControlType.Text |  | 文件(_F) | 264,102,56,22 | enabled=True
9 | ControlType.MenuItem |  | 编辑(E) | 338,83,93,60 | enabled=True
10 | ControlType.Text |  | 编辑(_E) | 357,102,56,22 | enabled=True
11 | ControlType.MenuItem |  | 视图(V) | 431,83,95,60 | enabled=True
12 | ControlType.Text |  | 视图(_V) | 450,102,58,22 | enabled=True
13 | ControlType.MenuItem |  | 项目(P) | 526,83,95,60 | enabled=True
14 | ControlType.Text |  | 项目(_P) | 545,102,57,22 | enabled=True
15 | ControlType.MenuItem |  | 帮助(H) | 621,83,96,60 | enabled=True
16 | ControlType.Text |  | 帮助(_H) | 639,102,60,22 | enabled=True
17 | ControlType.Text |  | 已打开故事：GreyHat_:test_story | 253,946,1415,22 | enabled=True
18 | ControlType.List |  |  | 238,886,1445,52 | enabled=True
19 | ControlType.ListItem |  | BottomPanelTab { Page = Output, Title = 输出, Glyph = Output, IsEnabled = True } | 240,891,62,42 | enabled=True
20 | ControlType.Text |  | 输出 | 254,901,35,22 | enabled=True
21 | ControlType.ListItem |  | BottomPanelTab { Page = Problems, Title = 问题, Glyph = Problems, IsEnabled = True } | 305,891,62,42 | enabled=True
22 | ControlType.Text |  | 问题 | 319,901,34,22 | enabled=True
23 | ControlType.ListItem |  | BottomPanelTab { Page = Debugger, Title = 调试器, Glyph = Debugger, IsEnabled = True } | 369,891,80,42 | enabled=True
24 | ControlType.Text |  | 调试器 | 383,901,52,22 | enabled=True
25 | ControlType.ListItem |  | BottomPanelTab { Page = Minecraft, Title = Minecraft, Glyph = Minecraft, IsEnabled = True } | 451,891,112,42 | enabled=True
26 | ControlType.Text |  | Minecraft | 465,901,85,22 | enabled=True
29 | ControlType.Custom | CanonicalStoryWorkspace |  | 283,184,1362,662 | enabled=True
30 | ControlType.Text |  | 测试故事 | 300,198,207,26 | enabled=True
31 | ControlType.Text |  | GreyHat_:test_story | 300,227,207,22 | enabled=True
32 | ControlType.Button | CanonicalCreateResource | 新建资源 | 509,208,33,32 | enabled=False
